elapsed_s,pid,raw,bytes
189.591,2210A8,"6210A847",0x47(71)
189.690,22101F,"7F2231",ERR
189.773,2210B0,"6210B028",0x28(40)
190.849,221022,"62102200",0x00(0)
190.904,2210A6,"6210A600",0x00(0)
190.971,223018,"7F2231",ERR
191.023,2210A8,"6210A847",0x47(71)
191.078,22101F,"7F2231",ERR
191.136,2210B0,"6210B028",0x28(40)
192.247,221022,"62102200",0x00(0)
192.291,2210A6,"6210A600",0x00(0)
192.342,223018,"7F2231",ERR
192.391,2210A8,"6210A847",0x47(71)
192.444,22101F,"7F2231",ERR
192.489,2210B0,"6210B09C",0x9C(156)
192.545,2210B1,"6210B100",0x00(0)
193.392,221022,"62102200",0x00(0)
193.459,2210A6,"6210A600",0x00(0)
193.519,223018,"7F2231",ERR
193.596,2210A8,"6210A800",0x00(0)
193.770,22101F,"7F2231",ERR
193.948,2210B0,"6210B09B",0x9B(155)
194.386,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
194.431,223050,"7F2231",ERR
194.514,22309A,"7F2231",ERR
195.582,221022,"62102200",0x00(0)
195.718,2210A6,"6210A600",0x00(0)
195.785,223018,"7F2231",ERR
195.841,2210A8,"6210A800",0x00(0)
195.900,22101F,"7F2231",ERR
195.953,2210B0,"6210B02B",0x2B(43)
196.758,221022,"62102200",0x00(0)
196.804,2210A6,"6210A600",0x00(0)
196.860,223018,"7F2231",ERR
196.912,2210A8,"6210A800",0x00(0)
196.973,22101F,"7F2231",ERR
197.158,2210B0,"6210B02A",0x2A(42)
197.599,2210B1,"6210B100",0x00(0)
198.294,221022,"62102200",0x00(0)
198.353,2210A6,"6210A600",0x00(0)
198.405,223018,"7F2231",ERR
198.458,2210A8,"6210A847",0x47(71)
198.512,22101F,"7F2231",ERR
198.565,2210B0,"6210B09B",0x9B(155)
199.487,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
199.540,223050,"7F2231",ERR
199.598,22309A,"7F2231",ERR
200.270,221022,"62102200",0x00(0)
200.328,2210A6,"6210A600",0x00(0)
